song_name,artist,language,emotion_tag,target_mood,valence,energy,tempo,spotify_track_id,spotify_url,Anomaly_Score,Prediction,Status
Nuvvante Naakishtam,Sid Sriram,Telugu,calming,happy,0.72,0.45,78,4Hv5q7YeGHQhzMJHKF1cA4,https://open.spotify.com/track/4Hv5q7YeGHQhzMJHKF1cA4,-0.4441,1,Normal
Ee Raathale,Sid Sriram,Telugu,comforting,happy,0.65,0.4,72,5xK6BALMJsPh9nXdKCVNHr,https://open.spotify.com/track/5xK6BALMJsPh9nXdKCVNHr,-0.4535,1,Normal
Adiga Adiga,Sid Sriram,Telugu,uplifting,happy,0.85,0.7,96,3UmaczJpikHgJFyBTAJVoz,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz,-0.4455,1,Normal
Nee Neeli Kannullo,Armaan Malik,Telugu,hopeful,happy,0.8,0.65,90,2f4IYRsEk5GtgPjKRY3Aqk,https://open.spotify.com/track/2f4IYRsEk5GtgPjKRY3Aqk,-0.4297,1,Normal
Saranga Dariya,Mangli,Telugu,uplifting,happy,0.88,0.82,108,6g0BdJLMjQS2b4mEqjGAo5,https://open.spotify.com/track/6g0BdJLMjQS2b4mEqjGAo5,-0.4449,1,Normal
Buttabomma,Armaan Malik,Telugu,happy,happy,0.9,0.75,100,2NQLH84tqOeN3mQp2JJLZM,https://open.spotify.com/track/2NQLH84tqOeN3mQp2JJLZM,-0.5002,1,Normal
Inkem Inkem,Sid Sriram,Telugu,comforting,happy,0.7,0.5,80,5XVEDdFBkTFsKyP9FWVaNx,https://open.spotify.com/track/5XVEDdFBkTFsKyP9FWVaNx,-0.4455,1,Normal
Ye Sakkagunnave,Sid Sriram,Telugu,calming,happy,0.68,0.42,74,3qT4bUD1MaWpGrTwcvxL9s,https://open.spotify.com/track/3qT4bUD1MaWpGrTwcvxL9s,-0.4171,1,Normal
Kadalalle,Sid Sriram,Telugu,hopeful,happy,0.78,0.6,88,1XmRPXCkGfipBGCUG6ETKP,https://open.spotify.com/track/1XmRPXCkGfipBGCUG6ETKP,-0.4596,1,Normal
Naalo Chilipi Kala,Armaan Malik,Telugu,uplifting,happy,0.86,0.72,102,7LpWX3MjQS5b4mEqjGZBn1,https://open.spotify.com/track/7LpWX3MjQS5b4mEqjGZBn1,-0.4355,1,Normal
Samajavaragamana,Sid Sriram,Telugu,calming,happy,0.75,0.48,82,0pMrAPbTAJVjlQcY5y8HAm,https://open.spotify.com/track/0pMrAPbTAJVjlQcY5y8HAm,-0.4765,1,Normal
Ninnu Kori,Sid Sriram,Telugu,comforting,happy,0.67,0.44,76,4ZpWX3MjQS5b4mEqjGABc2,https://open.spotify.com/track/4ZpWX3MjQS5b4mEqjGABc2,-0.4449,1,Normal
