Machine_ID,Temperature,Pressure,Vibration,Current,Sensor_Type
M-207,73.55,97.04,0.522,15.61,TypeC
M-034,68.83,96.61,0.457,12.8,TypeC
M-164,69.54,101.07,0.49,13.26,TypeA
M-079,72.28,110.95,0.594,13.42,TypeC
M-094,71.02,109.16,0.562,14.32,TypeB
M-230,74.04,95.48,0.472,15.33,TypeA
M-026,72.33,93.93,0.449,13.48,TypeC
M-010,73.63,98.99,0.65,17.16,TypeB
M-064,68.41,102.01,0.446,15.71,TypeB
M-083,76.43,89.38,0.448,14.03,TypeB
M-168,77.69,103.79,0.677,16.16,TypeC
M-194,68.26,95.69,0.372,15.05,TypeC
M-158,73.42,94.82,0.518,16.17,TypeB
M-061,70.56,102.6,0.443,15.64,TypeB
M-146,74.35,103.35,0.427,15.88,TypeB
M-199,72.17,95.62,0.503,15.92,TypeB
M-214,73.95,95.46,0.52,15.5,TypeA
M-280,70.84,105.72,0.619,13.9,TypeC
M-255,67.44,101.69,0.642,16.64,TypeB
M-043,71.65,101.22,0.474,15.65,TypeA
M-006,71.3,100.59,0.688,15.05,TypeB
M-240,74.56,97.12,0.479,15.7,TypeA
M-228,68.77,100.24,0.448,14.25,TypeC
M-165,74.89,99.44,0.615,14.64,TypeC
M-296,69.92,97.45,0.565,15.44,TypeA
M-275,69.06,104.15,0.497,14.25,TypeA
M-120,74.26,100.34,0.494,15.42,TypeB
M-300,73.89,101.89,0.418,16.36,TypeB
M-077,72.26,104.36,0.389,14.55,TypeC
M-149,73.57,97.43,0.439,16.48,TypeC
M-308,106.36,183.46,1.705,33.84,TypeC
M-153,69.96,95.07,0.402,15.49,TypeC
M-058,71.07,98.56,0.498,15.46,TypeC
M-276,73.39,88.94,0.679,14.72,TypeC
M-281,72.34,101.69,0.753,15.18,TypeC
M-298,72.92,95.11,0.515,15.55,TypeB
M-114,79.39,106.39,0.54,14.31,TypeA
M-004,76.57,103.05,0.636,16.28,TypeB
M-311,125.2,194.51,2.142,37.1,TypeA
M-112,71.92,94.38,0.49,15.2,TypeB
M-220,72.25,103.76,0.607,16.05,TypeA
M-105,71.52,97.75,0.344,15.7,TypeB
M-085,69.57,96.2,0.378,15.0,TypeA
M-078,71.1,100.92,0.675,12.58,TypeB
M-047,70.62,92.76,0.23,13.47,TypeB
M-046,69.84,101.16,0.473,13.93,TypeA
M-018,72.94,98.45,0.573,15.19,TypeB
M-181,73.88,99.36,0.518,14.65,TypeB
M-184,73.45,101.02,0.561,17.08,TypeC
M-141,72.68,101.92,0.316,16.68,TypeA
M-025,70.37,94.97,0.659,16.2,TypeA
M-074,76.69,104.8,0.463,14.35,TypeB
M-205,67.87,96.75,0.457,16.11,TypeB
M-109,72.77,100.6,0.292,16.05,TypeB
M-091,72.29,95.51,0.464,15.21,TypeB
M-117,71.9,107.76,0.511,14.35,TypeC
M-305,124.58,163.82,2.392,31.59,TypeA
M-008,74.3,97.04,0.376,15.75,TypeB
M-293,70.23,102.39,0.607,14.4,TypeC
M-185,71.33,96.22,0.556,15.38,TypeA
M-270,72.39,98.24,0.701,15.85,TypeA
M-174,73.02,106.83,0.597,13.72,TypeC
M-297,74.7,98.65,0.483,14.98,TypeA
M-222,66.4,102.72,0.641,16.19,TypeB
M-133,68.81,98.65,0.541,15.4,TypeB
M-156,69.86,96.04,0.763,14.33,TypeA
M-095,70.82,105.9,0.559,14.0,TypeB
M-246,71.0,96.02,0.549,15.02,TypeA
M-076,74.47,96.16,0.422,13.11,TypeB
M-148,68.04,95.3,0.424,13.42,TypeC
M-234,70.05,93.94,0.423,15.45,TypeB
M-263,62.28,104.36,0.655,13.61,TypeB
M-209,73.55,100.24,0.626,14.38,TypeB
M-115,71.42,101.66,0.496,16.74,TypeB
M-144,72.55,99.55,0.503,14.96,TypeA
M-212,75.41,99.75,0.456,15.22,TypeC
M-233,72.14,99.67,0.4,16.61,TypeB
M-262,71.82,110.38,0.348,17.29,TypeC
M-060,74.93,95.86,0.486,15.45,TypeA
M-110,71.78,102.57,0.67,14.46,TypeB
M-007,76.74,106.39,0.423,13.64,TypeA
M-299,74.44,97.78,0.621,15.22,TypeB
M-031,70.19,99.94,0.331,14.44,TypeB
M-023,72.2,95.91,0.688,15.13,TypeA
M-268,67.71,94.96,0.533,15.56,TypeA
M-057,69.48,99.91,0.501,15.34,TypeA
M-256,70.55,97.94,0.443,16.01,TypeB
M-200,68.57,93.09,0.503,15.35,TypeC
M-250,73.21,96.98,0.447,14.15,TypeA
M-183,68.79,91.97,0.538,14.68,TypeB
M-254,75.1,101.27,0.619,13.68,TypeA
M-295,73.07,105.19,0.638,13.41,TypeB
M-145,72.78,93.48,0.552,14.83,TypeC
M-177,72.04,102.88,0.427,13.44,TypeA
M-102,70.74,97.0,0.605,15.92,TypeC
M-257,75.8,97.56,0.417,14.31,TypeB
M-067,71.78,101.12,0.475,14.32,TypeA
M-127,69.03,95.18,0.502,15.04,TypeB
M-019,69.28,101.62,0.548,14.55,TypeC
M-180,80.16,105.6,0.562,15.85,TypeA
M-313,110.6,163.83,2.539,40.38,TypeB
M-020,67.76,99.35,0.522,15.19,TypeB
M-155,72.88,97.35,0.405,14.45,TypeB
M-093,69.89,93.4,0.392,14.75,TypeB
M-080,66.04,95.96,0.627,15.76,TypeC
M-226,75.27,90.98,0.645,13.85,TypeC
M-302,118.99,192.9,2.32,44.49,TypeC
M-073,71.89,107.26,0.466,15.84,TypeB
M-097,72.89,91.43,0.533,16.8,TypeC
M-016,70.31,100.11,0.513,15.28,TypeA
M-011,70.61,98.91,0.565,14.69,TypeB
M-176,74.48,98.75,0.343,14.51,TypeC
M-125,73.76,103.23,0.517,16.73,TypeC
M-098,72.78,106.77,0.375,15.64,TypeB
M-069,73.08,100.49,0.235,14.96,TypeC
M-247,70.58,102.89,0.529,13.9,TypeA
M-038,66.12,98.39,0.507,15.71,TypeA
M-017,68.96,103.41,0.511,15.61,TypeC
M-056,74.79,94.99,0.506,16.12,TypeB
M-224,67.16,102.85,0.464,13.86,TypeA
M-285,78.4,100.91,0.568,14.01,TypeB
M-068,75.01,100.06,0.65,16.8,TypeA
M-119,75.43,105.9,0.464,14.68,TypeA
M-173,71.77,92.42,0.563,15.08,TypeC
M-070,70.06,96.13,0.609,13.57,TypeC
M-032,77.56,95.51,0.653,16.88,TypeB
M-204,75.16,102.81,0.454,14.86,TypeA
M-166,73.24,98.9,0.43,13.88,TypeC
M-248,70.04,98.98,0.746,13.56,TypeA
M-126,78.57,106.84,0.482,15.44,TypeA
M-178,76.36,101.56,0.475,14.57,TypeA
