song_name,artist,language,emotion_tag,target_mood,valence,energy,tempo,spotify_track_id,spotify_url
Nuvvante Naakishtam,Sid Sriram,Telugu,calming,happy,0.72,0.45,78,4Hv5q7YeGHQhzMJHKF1cA4,https://open.spotify.com/track/4Hv5q7YeGHQhzMJHKF1cA4
Ee Raathale,Sid Sriram,Telugu,comforting,happy,0.65,0.40,72,5xK6BALMJsPh9nXdKCVNHr,https://open.spotify.com/track/5xK6BALMJsPh9nXdKCVNHr
Adiga Adiga,Sid Sriram,Telugu,uplifting,happy,0.85,0.70,96,3UmaczJpikHgJFyBTAJVoz,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
Nee Neeli Kannullo,Armaan Malik,Telugu,hopeful,happy,0.80,0.65,90,2f4IYRsEk5GtgPjKRY3Aqk,https://open.spotify.com/track/2f4IYRsEk5GtgPjKRY3Aqk
Saranga Dariya,Mangli,Telugu,uplifting,happy,0.88,0.82,108,6g0BdJLMjQS2b4mEqjGAo5,https://open.spotify.com/track/6g0BdJLMjQS2b4mEqjGAo5
Buttabomma,Armaan Malik,Telugu,happy,happy,0.90,0.75,100,2NQLH84tqOeN3mQp2JJLZM,https://open.spotify.com/track/2NQLH84tqOeN3mQp2JJLZM
Inkem Inkem,Sid Sriram,Telugu,comforting,happy,0.70,0.50,80,5XVEDdFBkTFsKyP9FWVaNx,https://open.spotify.com/track/5XVEDdFBkTFsKyP9FWVaNx
Ye Sakkagunnave,Sid Sriram,Telugu,calming,happy,0.68,0.42,74,3qT4bUD1MaWpGrTwcvxL9s,https://open.spotify.com/track/3qT4bUD1MaWpGrTwcvxL9s
Kadalalle,Sid Sriram,Telugu,hopeful,happy,0.78,0.60,88,1XmRPXCkGfipBGCUG6ETKP,https://open.spotify.com/track/1XmRPXCkGfipBGCUG6ETKP
Naalo Chilipi Kala,Armaan Malik,Telugu,uplifting,happy,0.86,0.72,102,7LpWX3MjQS5b4mEqjGZBn1,https://open.spotify.com/track/7LpWX3MjQS5b4mEqjGZBn1
Samajavaragamana,Sid Sriram,Telugu,calming,happy,0.75,0.48,82,0pMrAPbTAJVjlQcY5y8HAm,https://open.spotify.com/track/0pMrAPbTAJVjlQcY5y8HAm
Ninnu Kori,Sid Sriram,Telugu,comforting,happy,0.67,0.44,76,4ZpWX3MjQS5b4mEqjGABc2,https://open.spotify.com/track/4ZpWX3MjQS5b4mEqjGABc2
Oo Antava,Indravathi Chauhan,Telugu,uplifting,happy,0.87,0.85,110,1yTfNkENsEIxc9nRLFnf8G,https://open.spotify.com/track/1yTfNkENsEIxc9nRLFnf8G
Rowdy Baby,Dhanush & Dhee,Telugu,happy,happy,0.92,0.88,114,6T3fNBotG0GGqvqvMBM3Ar,https://open.spotify.com/track/6T3fNBotG0GGqvqvMBM3Ar
Srivalli,Sid Sriram,Telugu,uplifting,happy,0.82,0.68,94,3UX6gJzC0b9TwvPyNQ0fJM,https://open.spotify.com/track/3UX6gJzC0b9TwvPyNQ0fJM
Jai Jai Shivshankar,Vishal-Shekhar,Hindi,calming,happy,0.62,0.38,70,3nVSB7uEqxOlegwZtPwfh1,https://open.spotify.com/track/3nVSB7uEqxOlegwZtPwfh1
Raataan Lambiyan,Jubin Nautiyal,Hindi,comforting,happy,0.70,0.45,80,1io6VECwrpL2QgjSYNR6B4,https://open.spotify.com/track/1io6VECwrpL2QgjSYNR6B4
Tujhe Kitna Chahne Lage,Arijit Singh,Hindi,comforting,happy,0.68,0.42,76,5fMkP2GkiuXeHkRFSvKFaW,https://open.spotify.com/track/5fMkP2GkiuXeHkRFSvKFaW
Kesariya,Arijit Singh,Hindi,hopeful,happy,0.80,0.62,92,3b6rKaa3453dNjZKbYDEAT,https://open.spotify.com/track/3b6rKaa3453dNjZKbYDEAT
Kahun Kya,Arijit Singh,Hindi,calming,happy,0.65,0.38,68,2Qv3G7Z9hJTjA6jQBYVfnL,https://open.spotify.com/track/2Qv3G7Z9hJTjA6jQBYVfnL
Tera Ban Jaunga,Akhil Sachdeva,Hindi,comforting,happy,0.72,0.46,82,0LtMhNbhJFyBTAJVjlQ5c8,https://open.spotify.com/track/0LtMhNbhJFyBTAJVjlQ5c8
Lut Gaye,Jubin Nautiyal,Hindi,hopeful,happy,0.82,0.65,94,4gJzC0b9TwvPyNQ0fJMUc7,https://open.spotify.com/track/4gJzC0b9TwvPyNQ0fJMUc7
Hawayein,Arijit Singh,Hindi,calming,happy,0.66,0.40,72,5vNTfFJF3rV2JlFZXNE8XG,https://open.spotify.com/track/5vNTfFJF3rV2JlFZXNE8XG
Pal,Arijit Singh,Hindi,comforting,happy,0.69,0.43,78,7bPEVFySYJ1OAPB9GC4JDs,https://open.spotify.com/track/7bPEVFySYJ1OAPB9GC4JDs
Dil Diyan Gallan,Atif Aslam,Hindi,hopeful,happy,0.77,0.58,88,2kQvbBKRQ4m51eP8JTjkYr,https://open.spotify.com/track/2kQvbBKRQ4m51eP8JTjkYr
Kho Gaye Hum Kahan,Jasleen Royal,Hindi,hopeful,happy,0.83,0.68,96,1rM9BaJXSbHzXN5QgFmW3K,https://open.spotify.com/track/1rM9BaJXSbHzXN5QgFmW3K
